original_index,original_text,text,augmentation_type,is_augmented,example_very_unclear,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
0,Serious Tag Notice Jokes puns and offtopic comments are not permitted in any comment parent or child,Serious Tag Notice Jokes puns and offtopic comments are not permitted in any comment parent or child,original,FALSE,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Celltronics seem to be good based on what I have heard but I have never purchase anything serious like a phone from them before,Celltronics seem to be good based on what I have heard but I have never purchase anything serious like a phone from them before,original,FALSE,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Chennai is a 40k flight away,Chennai is a 40k flight away,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Like seriously I have seen zero positive change over last few years,Like seriously I have seen zero positive change over last few years,original,FALSE,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Dont buy a MacBook youll be living in hell buy a brand new i5 like a IdeaPad vicobook or hp15 series windows is where youll find freedom,Dont buy a MacBook youll be living in hell buy a brand new i5 like a IdeaPad vicobook or hp15 series windows is where youll find freedom,original,FALSE,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,If you are looking for a budget gaming Lenovo Legion or LOQ series is pretty decent,If you are looking for a budget gaming Lenovo Legion or LOQ series is pretty decent,original,FALSE,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,People just dont follow rules unless theres a serious penalty,People just dont follow rules unless theres a serious penalty,original,FALSE,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,But seriously the fact that youre back at it shows insane resilienceI could never,But seriously the fact that youre back at it shows insane resilienceI could never,original,FALSE,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,If youre getting embarrassed by a country that youre not even from you got too much time on your hands machan,If youre getting embarrassed by a country that youre not even from you got too much time on your hands machan,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,We might not be taken seriously by the world but at least we have some ethics and honestly thats worth way more than whatever theyve got,We might not be taken seriously by the world but at least we have some ethics and honestly thats worth way more than whatever theyve got,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11,Cannot imagine the replies if the Serious tag wasnt there,Cannot imagine the replies if the Serious tag wasnt there,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,On a serious note it really depends on what youre looking for and the budget,On a serious note it really depends on what youre looking for and the budget,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,It ensured India never seriously supported LTTE from that point onwards,It ensured India never seriously supported LTTE from that point onwards,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Lastly just check if the applications you are planning to use work on M series Macbooks or not,Lastly just check if the applications you are planning to use work on M series Macbooks or not,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Seriously tell me how to implement this,Seriously tell me how to implement this,original,FALSE,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Seriously doubt English will ever be an official language the government has no incentive to do so,Seriously doubt English will ever be an official language the government has no incentive to do so,original,FALSE,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,TishanHasi Mota and Yash Panchi cringe ultra pro maxTilen Pannala stop making useless people famousSanharshi Not an influencer but e InnasithambiShanudrieRatta,TishanHasi Mota and Yash Panchi cringe ultra pro maxTilen Pannala stop making useless people famousSanharshi Not an influencer but e InnasithambiShanudrieRatta,original,FALSE,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,If youre looking for a serious answer yes he hails from a well off family but his dad died when he was young and he was forced to move to Colombo with all his family wealth left behind because of the war,If youre looking for a serious answer yes he hails from a well off family but his dad died when he was young and he was forced to move to Colombo with all his family wealth left behind because of the war,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Didnt see any news or any reports on this accident so hopefully its not that serious and shes ok,Didnt see any news or any reports on this accident so hopefully its not that serious and shes ok,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,There is a serious language barrier in the Sri Lankan armed forces,There is a serious language barrier in the Sri Lankan armed forces,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,And no a Reddit post wont convince someone who just streamed a full series off Telegram with zero guilt,And no a Reddit post wont convince someone who just streamed a full series off Telegram with zero guilt,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,8085 million American people download pirate tv series,8085 million American people download pirate tv series,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Can also add Maia Thambili 1331 and Arienti for casual wear,Can also add Maia Thambili 1331 and Arienti for casual wear,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,Oh yes Thambili has some really cute printed stuff,Oh yes Thambili has some really cute printed stuff,original,FALSE,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,I find it much more convenient and efficient to pirate the movies and TV series I want to watch for many reasons,I find it much more convenient and efficient to pirate the movies and TV series I want to watch for many reasons,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,Seriously who in their right mind paying for subscriptions and come and complain about it when theres a perfect solution for it,Seriously who in their right mind paying for subscriptions and come and complain about it when theres a perfect solution for it,original,FALSE,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Any movie or Tv series is just one click away if you download from Telegram brotha,Any movie or Tv series is just one click away if you download from Telegram brotha,original,FALSE,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,Try Thepiratebay around 8085 million USA adults download pirated TV series,Try Thepiratebay around 8085 million USA adults download pirated TV series,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,Yes it is because of licensing rights of each movieseries,Yes it is because of licensing rights of each movieseries,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Because of those licensing rights where the movieseries is allowed to stream might be limited by the distributer company,Because of those licensing rights where the movieseries is allowed to stream might be limited by the distributer company,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,I used to have Netflix for few months trust me when I say this I have searched 100s of movies and seriess and none of them were available none,I used to have Netflix for few months trust me when I say this I have searched 100s of movies and seriess and none of them were available none,original,FALSE,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,Well its an american made series right,Well its an american made series right,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,Another concern is the syllabus material which is yet to be publicized would have to see that for if the goverment is serious on creating a less wrought and more curiosity driven syllabus,Another concern is the syllabus material which is yet to be publicized would have to see that for if the goverment is serious on creating a less wrought and more curiosity driven syllabus,original,FALSE,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,You can find some good ThinkPads I prefer the T series on FB marketplace,You can find some good ThinkPads I prefer the T series on FB marketplace,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,What series you are using,What series you are using,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,ThinkPad or IdeaPad series,ThinkPad or IdeaPad series,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2th hand market sucks cant find out original parts I recommend you Asus Vivobook 15 i5 13th gen H series,2th hand market sucks cant find out original parts I recommend you Asus Vivobook 15 i5 13th gen H series,original,FALSE,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Or just even make a YouTube series which is compulsory watching,Or just even make a YouTube series which is compulsory watching,original,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,also on a serious note more than half the shit in the mahawanshaya is complete bullshit it aint no conspiracy theory,also on a serious note more than half the shit in the mahawanshaya is complete bullshit it aint no conspiracy theory,original,FALSE,,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
